                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6152,                  1.742,                  1.456,                0.77848,                0.80075,                0.80429,                 0.4518,                  1.481,                0.91053,                 1.3944,               0.070061,              0.0033265,              0.0033265
                      1,                 1.4848,                 1.1049,                 1.3214,                0.80271,                0.81803,                0.84838,                0.48675,                 1.4586,                0.88508,                 1.4132,               0.039951,                0.00655,                0.00655
                      2,                  1.525,                 1.1584,                 1.3402,                0.77881,                0.71695,                0.76682,                0.41936,                 1.5578,                 1.1158,                 1.4541,              0.0097313,              0.0096634,              0.0096634
                      3,                 1.5676,                 1.2448,                 1.3785,                0.78176,                0.75965,                0.79843,                0.44397,                 1.5253,                 1.0656,                 1.4387,               0.009505,               0.009505,               0.009505
                      4,                  1.565,                 1.1838,                   1.42,                0.78533,                0.78752,                 0.8153,                0.45648,                 1.5135,                0.99457,                 1.4752,               0.009505,               0.009505,               0.009505
                      5,                 1.5398,                 1.1223,                 1.3855,                0.81059,                0.77271,                0.82301,                0.45995,                 1.5107,                 1.0094,                 1.4776,                0.00934,                0.00934,                0.00934
                      6,                 1.5257,                 1.1189,                 1.3854,                0.82294,                0.79726,                0.84513,                  0.484,                 1.4952,                 0.9405,                 1.4853,               0.009175,               0.009175,               0.009175
                      7,                 1.5185,                 1.0749,                 1.3826,                0.81359,                0.81524,                0.85098,                0.48067,                 1.5022,                0.91054,                 1.4597,                0.00901,                0.00901,                0.00901
                      8,                 1.5083,                 1.0541,                 1.3844,                0.82945,                0.82763,                0.85146,                0.48261,                 1.4522,                  0.879,                 1.4526,               0.008845,               0.008845,               0.008845
                      9,                 1.4875,                 1.0357,                 1.3787,                 0.8249,                0.81762,                0.85065,                0.48532,                 1.4555,                0.89368,                 1.4397,                0.00868,                0.00868,                0.00868
                     10,                 1.4708,                0.99049,                 1.3819,                0.83656,                0.82344,                0.85726,                0.49188,                 1.4614,                0.87043,                 1.4552,               0.008515,               0.008515,               0.008515
                     11,                 1.4649,                0.98242,                 1.3666,                0.83637,                0.83916,                0.87113,                0.48962,                 1.4824,                0.84333,                 1.4646,                0.00835,                0.00835,                0.00835
                     12,                 1.4431,                0.94429,                  1.352,                0.83501,                0.84623,                0.86851,                0.49593,                 1.4639,                 0.8184,                 1.4537,               0.008185,               0.008185,               0.008185
                     13,                 1.4419,                0.93343,                 1.3566,                0.84283,                0.83319,                0.87169,                0.49787,                 1.4688,                0.81098,                 1.4628,                0.00802,                0.00802,                0.00802
                     14,                 1.4253,                0.91343,                 1.3503,                0.83591,                0.83631,                0.87084,                0.50346,                 1.4396,                0.84415,                 1.4512,               0.007855,               0.007855,               0.007855
                     15,                  1.419,                0.91429,                  1.345,                0.82915,                0.85073,                0.86403,                0.49763,                 1.4332,                0.81203,                  1.431,                0.00769,                0.00769,                0.00769
                     16,                 1.4163,                0.89701,                 1.3361,                0.84951,                0.83719,                0.87153,                0.51133,                  1.432,                0.79699,                 1.4485,               0.007525,               0.007525,               0.007525
                     17,                 1.4041,                0.85538,                  1.335,                0.86457,                0.84763,                0.88586,                 0.5185,                 1.4259,                0.74151,                 1.4227,                0.00736,                0.00736,                0.00736
                     18,                 1.3885,                0.86823,                 1.3253,                0.83979,                0.86229,                0.87935,                 0.5137,                 1.4358,                0.75458,                 1.4359,               0.007195,               0.007195,               0.007195
                     19,                 1.3794,                0.84102,                 1.3137,                0.83177,                0.86595,                0.88444,                0.52659,                 1.4127,                0.74083,                  1.435,                0.00703,                0.00703,                0.00703
                     20,                 1.3757,                0.83824,                 1.3149,                0.85504,                0.85361,                0.88815,                0.52747,                 1.4142,                0.75131,                  1.432,               0.006865,               0.006865,               0.006865
                     21,                 1.3597,                0.80876,                 1.3109,                 0.8515,                0.85918,                0.88412,                0.51497,                 1.4359,                0.74228,                 1.4605,                 0.0067,                 0.0067,                 0.0067
                     22,                 1.3747,                0.83134,                 1.3123,                0.85939,                0.85199,                0.88741,                0.52806,                  1.417,                0.75235,                  1.431,               0.006535,               0.006535,               0.006535
                     23,                  1.359,                0.80089,                 1.3086,                0.84871,                0.87097,                0.89597,                0.52779,                 1.4157,                0.72372,                 1.4317,                0.00637,                0.00637,                0.00637
                     24,                 1.3327,                0.77255,                 1.2786,                 0.8617,                0.85345,                0.88968,                0.52448,                 1.4042,                0.71859,                 1.4215,               0.006205,               0.006205,               0.006205
                     25,                 1.3416,                0.77474,                 1.3049,                0.84724,                0.85677,                0.88461,                0.52079,                 1.4083,                0.72359,                  1.404,                0.00604,                0.00604,                0.00604
                     26,                 1.3257,                0.76507,                 1.2958,                0.85897,                 0.8676,                0.89918,                0.53189,                 1.4059,                0.70702,                 1.4128,               0.005875,               0.005875,               0.005875
                     27,                 1.3197,                0.75121,                  1.298,                0.84833,                0.87535,                0.88993,                0.52217,                 1.4214,                 0.7144,                 1.4082,                0.00571,                0.00571,                0.00571
                     28,                 1.3105,                0.74196,                 1.2808,                 0.8656,                0.87622,                0.90144,                0.53874,                 1.3995,                0.68892,                 1.4084,               0.005545,               0.005545,               0.005545
                     29,                 1.3112,                0.73985,                 1.2718,                0.84462,                  0.867,                0.88319,                0.52749,                 1.4097,                0.69159,                 1.4143,                0.00538,                0.00538,                0.00538
                     30,                  1.295,                0.72513,                 1.2683,                 0.8562,                0.87009,                0.89906,                0.53522,                 1.3987,                0.67929,                 1.4034,               0.005215,               0.005215,               0.005215
                     31,                 1.2949,                0.72161,                 1.2678,                0.85221,                0.88324,                0.89919,                0.53712,                  1.393,                0.69177,                  1.412,                0.00505,                0.00505,                0.00505
                     32,                 1.2701,                0.70553,                 1.2561,                0.86857,                0.85953,                0.89587,                0.53941,                 1.3895,                0.68571,                 1.4196,               0.004885,               0.004885,               0.004885
                     33,                 1.2842,                0.71212,                 1.2634,                0.84719,                0.87621,                0.89307,                0.52978,                 1.4116,                0.68236,                  1.415,                0.00472,                0.00472,                0.00472
                     34,                  1.255,                0.68744,                  1.247,                0.85771,                0.87398,                 0.9026,                0.53932,                 1.4102,                0.68243,                 1.4233,               0.004555,               0.004555,               0.004555
                     35,                 1.2424,                0.67479,                  1.241,                 0.8652,                0.86407,                0.89994,                0.54038,                 1.4011,                0.66788,                 1.4073,                0.00439,                0.00439,                0.00439
                     36,                 1.2342,                0.66674,                 1.2387,                0.86748,                0.86238,                 0.8986,                  0.537,                 1.3986,                0.67768,                 1.4234,               0.004225,               0.004225,               0.004225
                     37,                 1.2322,                0.65955,                 1.2397,                0.86382,                0.87887,                0.90671,                0.54786,                 1.3943,                 0.6645,                 1.4127,                0.00406,                0.00406,                0.00406
                     38,                 1.2422,                0.66654,                 1.2366,                0.85751,                0.88211,                0.90479,                0.54484,                 1.3957,                0.66201,                 1.4139,               0.003895,               0.003895,               0.003895
                     39,                 1.2057,                0.64764,                 1.2193,                0.86689,                0.86615,                0.89919,                0.53737,                 1.3993,                0.66515,                 1.4241,                0.00373,                0.00373,                0.00373
                     40,                 1.2009,                0.64666,                 1.2189,                0.85612,                0.88924,                0.90554,                0.54772,                 1.3886,                 0.6674,                 1.4206,               0.003565,               0.003565,               0.003565
                     41,                 1.1998,                0.63232,                 1.2113,                0.85678,                0.87892,                0.90443,                 0.5428,                 1.3975,                0.64469,                 1.4268,                 0.0034,                 0.0034,                 0.0034
                     42,                 1.1956,                0.63939,                 1.2114,                0.85983,                 0.8752,                0.89828,                0.53877,                 1.3952,                0.65935,                 1.3997,               0.003235,               0.003235,               0.003235
                     43,                 1.1826,                0.61632,                 1.1998,                0.86001,                0.88437,                0.90249,                0.54516,                 1.3955,                0.65369,                  1.426,                0.00307,                0.00307,                0.00307
                     44,                 1.1741,                0.61403,                 1.1975,                0.86083,                0.87677,                 0.9027,                0.54261,                 1.4047,                0.65888,                 1.4285,               0.002905,               0.002905,               0.002905
                     45,                 1.1609,                0.60329,                  1.185,                0.85965,                0.88988,                0.90343,                0.53764,                 1.3962,                0.64851,                 1.4175,                0.00274,                0.00274,                0.00274
                     46,                 1.1358,                0.58944,                 1.1703,                0.86087,                0.87732,                0.90302,                0.54269,                 1.4037,                 0.6525,                 1.4356,               0.002575,               0.002575,               0.002575
                     47,                 1.1471,                0.58691,                 1.1787,                0.87299,                0.87517,                 0.9068,                0.54176,                 1.3965,                0.64641,                 1.4161,                0.00241,                0.00241,                0.00241
                     48,                  1.126,                0.58291,                 1.1684,                0.86477,                0.88161,                 0.9045,                0.54418,                 1.4043,                0.64491,                 1.4377,               0.002245,               0.002245,               0.002245
                     49,                 1.1017,                0.55739,                  1.153,                0.85709,                0.88246,                0.90396,                0.54156,                 1.3971,                0.64388,                 1.4139,                0.00208,                0.00208,                0.00208
                     50,                 1.1078,                0.57481,                 1.1635,                0.87275,                0.87394,                0.90459,                0.54495,                 1.4062,                0.63682,                 1.4392,               0.001915,               0.001915,               0.001915
                     51,                 1.1037,                0.55638,                 1.1595,                0.87908,                0.87463,                0.91014,                0.54841,                 1.3956,                 0.6317,                 1.4428,                0.00175,                0.00175,                0.00175
                     52,                 1.0929,                0.55675,                  1.155,                0.86163,                0.88642,                 0.9083,                0.54342,                 1.4014,                0.63303,                 1.4404,               0.001585,               0.001585,               0.001585
                     53,                 1.0808,                0.54941,                 1.1507,                  0.859,                 0.8882,                0.90411,                0.54532,                 1.3945,                0.63705,                 1.4324,                0.00142,                0.00142,                0.00142
                     54,                 1.0544,                0.53173,                 1.1322,                 0.8452,                0.89779,                0.90482,                0.54453,                 1.3971,                0.63138,                 1.4388,               0.001255,               0.001255,               0.001255
                     55,                 1.0585,                0.53729,                 1.1347,                0.85565,                0.89024,                0.90776,                0.54536,                 1.4015,                0.62936,                 1.4394,                0.00109,                0.00109,                0.00109
                     56,                   1.04,                 0.5247,                 1.1333,                0.86001,                0.88974,                0.90864,                0.54606,                 1.4007,                0.63602,                 1.4517,               0.000925,               0.000925,               0.000925
                     57,                 1.0443,                0.52104,                 1.1316,                0.86484,                0.88799,                0.91307,                0.54953,                 1.3958,                0.63189,                 1.4569,                0.00076,                0.00076,                0.00076
                     58,                 1.0289,                0.51472,                 1.1215,                0.85977,                0.89461,                0.91067,                0.54623,                  1.401,                0.63031,                 1.4549,               0.000595,               0.000595,               0.000595
                     59,                 1.0147,                0.50804,                 1.1107,                0.86957,                0.88097,                0.90969,                0.54737,                 1.4013,                0.63488,                 1.4597,                0.00043,                0.00043,                0.00043
